response,userId,iteractions
"['amadeus (1984)', 'annie hall (1977)', 'my left foot (1989)', 'rain man (1988)', 'saving private ryan (1998)', 'field of dreams (1989)', 'good will hunting (1997)', ""sophie's choice (1982)"", ""schindler's list (1993)"", 'e.t. the extra-terrestrial (1982)']",1,1
"['true lies (1994)', 'speed (1994)', 'rock, the (1996)', 'face/off (1997)', 'lethal weapon (1987)', 'cliffhanger (1993)', 'bad boys (1995)', 'demolition man (1993)']",2,5
"['indiana jones and the last crusade (1989)', 'romancing the stone (1984)', 'big trouble in little china (1986)', 'rumble in the bronx, a (1995)', 'road to el dorado, the (2000)', 'three amigos (1986)', 'princess bride, the (1987)', 'trading places (1983)', 'rumble in the bronx (1995)', 'body heat (1981)']",3,3
"['singles (1992)', 'reservoir dogs (1992)', ""mr. holland's opus (1995)"", 'apollo 13 (1995)', 'birdcage, the (1996)', 'get shorty (1995)', 'goldeneye (1995)', 'people vs. larry flynt, the (1996)', 'l.a. confidential (1997)', 'pi (1998)']",5,1
"['jumanji (1995)', 'big daddy (1999)', 'waterworld (1995)', 'free willy (1993)', 'bodyguard, the (1992)', ""kid in king arthur's court, a (1995)"", 'geronimo (1993)', 'home alone (1990)', 'home alone 2: lost in new york (1992)', 'princess bride, the (1987)']",6,1
"['american beauty (1999)', 'apollo 13 (1995)', 'interview with the vampire (1994)', 'few good men, a (1992)', 'erin brockovich (2000)', 'fight club (1999)', 'amadeus (1984)', 'goodfellas (1990)', 'platoon (1986)', 'schindlers list (1993)']",7,1
"['philadelphia (1993)', 'few good men, a (1992)', 'scent of a woman (1992)', 'perfect world, a (1993)', 'river runs through it, a (1992)', 'sommersby (1993)', 'interview with the vampire (1994)', 'rainmaker, the (1997)', 'sleepers (1996)', ""schindler's list (1993)""]",8,1
"['few good men, a (1992)', 'philadelphia (1993)', 'my cousin vinny (1992)', 'dances with wolves (1990)', 'pretty woman (1990)', 'cutting edge, the (1992)', 'my left foot (1989)', 'goodfellas (1990)', 'in the line of fire (1993)', 'singles (1992)']",9,0
"['rain man (1988)', 'chinatown (1974)', 'rear window (1954)', 'cinderella (1950)', 'sound of music, the (1965)', 'peter pan (1953)', 'dr. strangelove or: how i learned to stop worrying and love the bomb (1963)', 'being there (1979)', 'journey of natty gann, the (1985)', 'ghostbusters ii (1989)']",10,0
"['caddyshack (1980)', 'true lies (1994)', 'meatballs (1979)', 'fast times at ridgemont high (1982)', 'animal house (1978)', 'pcu (1994)', 'billy madison (1995)', 'tommy boy (1995)', 'dumb & dumber (1994)', 'happy gilmore (1996)']",11,1
"['jumanji (1995)', 'honey, i shrunk the kids (1989)', 'honey, we blew up the kid (1991)', 'honey, i blew up the kid (1991)', 'honey, i blew up junior (1992)', 'honey, we shrunk the kids (1989)', 'e.t. the extra-terrestrial (1982)', 'cocoon (1985)', 'back to the future (1985)', 'neverending story, the (1984)']",13,3
"['perfect world, a (1993)', 'back to the future (1985)', 'edward scissorhands (1990)', ""what's eating gilbert grape (1993)"", 'river wild, the (1994)', 'fisher king, the (1991)', 'three musketeers, the (1993)', 'badlands (1973)', 'hook (1991)', 'few good men, a (1992)']",15,2
"['10 things i hate about you (1999)', 'sixteen candles (1984)', 'pretty in pink (1986)', 'singles (1992)', 'cruel intentions (1999)', 'never been kissed (1999)', 'clueless (1995)', 'pretty woman (1990)', ""can't hardly wait (1998)"", 'dirty dancing (1987)']",16,3
"['demolition man (1993)', 'total recall (1990)', 'starman (1984)', 'escape from the planet of the apes (1973)', 'robocop (1987)', 'tron (1982)', 'heavy metal (1981)', 'dune (1984)', 'stargate (1994)', 'black hole, the (1979)']",17,3
"['dead poets society (1989)', 'driving miss daisy (1989)', 'fried green tomatoes (1991)', 'dances with wolves (1990)', 'my left foot (1989)', 'chariots of fire (1981)', ""sophie's choice (1982)"", 'scent of a woman (1992)', 'ordinary people (1980)', 'gandhi (1982)']",18,3
"['jaws (1975)', 'titanic (1997)', 'forrest gump (1994)', 'pulp fiction (1994)', 'reservoir dogs (1992)', 'taxi driver (1976)', 'platoon (1986)', 'goodfellas (1990)', 'matrix, the (1999)', 'se7en (1995)']",19,0
"['cliffhanger (1993)', 'dick tracy (1990)', 'last action hero (1993)', 'indiana jones and the last crusade (1989)', 'abyss, the (1989)', 'willow (1988)', 'honey, i shrunk the kids (1989)', 'raiders of the lost ark (1981)', 'total recall (1990)', 'true lies (1994)']",22,1
